ii libasyncns-0.8_9                          C library for executing name service queries asynchronously
ii libatasmart-0.19_5                        ATA S.M.A.R.T. Reading and Parsing Library
ii libavcodec-4.3.2_4                        FFmpeg codec library
ii libavdevice-4.3.2_4                       FFmpeg device handling library
ii libavfilter-4.3.2_4                       FFmpeg audio/video filter library
ii libavformat-4.3.2_4                       FFmpeg file format library
ii libavresample-4.3.2_4                     FFmpeg audio resampling library
ii libavutil-4.3.2_4                         FFmpeg utility library
ii libblkid-2.37.2_1                         Library to handle device identification
ii libblkid-devel-2.37.2_1                   Library to handle device identification - development files
ii libblockdev-2.25_1                        Library for manipulating block devices
ii libbluray-1.3.0_1                         Library to access Blu-Ray disks for video playback
ii libbs2b-3.1.0_3                           Audiofilter for headphones
ii libbytesize-2.6_1                         Library for operations with sizes in bytes
ii libcanberra-0.30_11                       XDG Sound Theme and Name Specification library implementation
ii libcanberra-gtk3-0.30_11                  XDG Sound Theme and Name Specification library implementation - GTK+ (3.x) support
ii libcap-2.54_1                             POSIX.1e capabilities suite
ii libcap-ng-0.8.2_1                         Alternate POSIX capabilities library
ii libcap-progs-2.54_1                       POSIX.1e capabilities suite - utilities
ii libcddb-1.3.2_9                           Library to access data on a CDDB server
ii libcdio-2.1.0_1                           CD-ROM access library
ii libcdio-paranoia-10.2+2.0.1_1             CD paranoia utility/libraries from libcdio
ii libcdparanoia-10.2_15                     CDDA reading utility with extra data verification features - runtime library
ii libclang-cpp-12.0.1_1                     Low Level Virtual Machine - C frontend runtime library (C++ interface)
ii libclc-12.0.0_1                           Open implementation of the OpenCL C programming language
ii libcolord-1.4.5_2                         System daemon for managing color devices - runtime library
ii libcrypto1.1-1.1.1l_1                     Toolkit for Secure Sockets Layer and Transport Layer Security - crypto library
ii libcryptsetup-2.3.6_1                     Setup virtual encryption devices under Linux dm-crypt - runtime libraries
ii libcups-2.3.3op2_1                        Common Unix Printing System - client runtime shared libraries
ii libcurl-7.79.1_1                          Multiprotocol file transfer library
ii libdatrie-0.2.13_1                        Implementation of double-array structure for representing trie
ii libdav1d4-0.8.1_1                         Small and fast AV1 Decoder - runtime library
ii libdaxctl-70.1_1                          Utility library for managing libnvdimm - daxctl library
ii libdb-5.3.28_8                            Berkeley DB embedded database system - C shared libraries
ii libdbusmenu-qt5-0.9.3+16.04.20160218_3    Library that provides a Qt5 implementation of the DBusMenu spec
ii libde265-1.0.8_1                          Open h.265 video codec implementation
ii libdebuginfod-0.185_1                     Utilities to handle ELF object files - debuginfod library
ii libdecor-0.1.0_1                          Client-side decorations library for Wayland client
ii libdrm-2.4.107_1                          Userspace interface to kernel DRM services
ii libdrm-devel-2.4.107_1                    Userspace interface to kernel DRM services - development files
ii libdvdcss-1.4.3_1                         Simple library designed for accessing DVDs
ii libdvdnav-6.1.1_1                         Library to navigate DVDs
ii libdvdread-6.1.2_1                        DVD access library
ii libedit-20210522.3.1_1                    Port of the NetBSD Command Line Editor Library
ii libefivar-37_1                            Library to manipulate EFI variables
ii libelf-0.185_1                            Utilities to handle ELF object files - runtime library
ii libelogind-246.9.2_3                      Standalone logind fork - elogind library
ii libepoxy-1.5.8_1                          Library for handling OpenGL function pointer management for you
ii libev-4.33_1                              High-performance event loop loosely modelled after libevent
ii libevdev-1.11.0_1                         Wrapper library for evdev devices
ii libevdev-devel-1.11.0_1                   Wrapper library for evdev devices - development files
ii libevent-2.1.12_2                         Abstract asynchronous event notification library
ii libfdisk-2.37.2_1                         Library for fdisk(8)
ii libffi-3.3_2                              Library supporting Foreign Function Interfaces
ii libffi-devel-3.3_2                        Library supporting Foreign Function Interfaces - development files
ii libfftw-3.3.9_1                           Library for computing the discrete Fourier transform (DFT) - runtime libraries
ii libflac-1.3.3_3                           Free Lossless Audio Codec - shared libraries
ii libfontenc-1.1.4_1                        Fontenc Library from X.org
ii libgbm-21.2.3_1                           Mesa Generic buffer management API - runtime
ii libgcc-10.2.1pre1_3                       GNU Compiler Collection - GCC library
ii libgcc-devel-10.2.1pre1_3                 GNU Compiler Collection - GCC library - development files
ii libgcrypt-1.9.4_1                         GNU cryptographic library
ii libglapi-21.2.3_1                         Free implementation of the GL API - shared library
ii libglib-devel-2.70.0_1                    GNU library of C routines - development files
ii libglvnd-1.3.3_1                          GL Vendor-Neutral Dispatch library
ii libglvnd-devel-1.3.3_1                    GL Vendor-Neutral Dispatch library - development files
ii libgomp-10.2.1pre1_3                      GNU Compiler Collection - OpenMP v4.0 library
